"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"120",702,"702. AGATU","Agatu",0,0,3,0,0,0,3,2,0,0,2
"121",703,"703. APA","Apa",0,0,0,0,0,0,0,0,0,0,0
"122",704,"704. BURUKU","Buruku",0,0,0,0,0,0,1,1,0,0,8
"123",705,"705. GBOKO","Gboko",0,1,6,0,0,0,1,1,0,0,0
"124",706,"706. GUMA","Guma",0,0,0,0,0,0,0,0,0,0,0
"125",707,"707. GWER","Gwer",0,0,0,0,0,0,0,0,0,0,0
"126",708,"708. GWER WEST","Gwer West",0,0,0,0,0,0,0,1,0,0,8
"127",709,"709. KATSINA ALA","Katsina Ala",0,0,0,0,0,0,0,0,0,0,10
"128",710,"710. KONSHISHA","Konshisha",0,0,0,0,0,0,0,0,0,0,0
"129",711,"711. KWANDE","Kwande",0,0,0,0,0,0,1,0,0,0,7
"130",712,"712. LOGO","Logo",0,0,0,0,0,0,0,0,0,0,0
"131",713,"713. MARKURDI","Markurdi",1,3,9,0,0,0,2,0,0,0,4
"132",714,"714. OBI (BENUE STATE)","Obi (Benue State)",0,0,0,0,0,0,0,0,0,0,0
"133",715,"715. OGBADIBO","Ogbadibo",0,1,1,0,0,0,0,1,0,0,6
"134",716,"716. OHIMINI","Ohimini",0,1,2,0,0,0,1,2,0,0,4
"135",717,"717. OJU","Oju",0,0,2,0,0,0,0,4,0,0,4
"136",718,"718. OKPOKWU","Okpokwu",0,3,9,0,0,0,0,9,0,0,9
"137",719,"719. OTUKPO","Otukpo",0,1,6,0,0,0,1,1,0,0,1
"138",720,"720. TARKA","Tarka",0,0,0,0,0,0,0,0,0,0,0
"139",721,"721. UKUM","Ukum",1,0,0,0,0,0,4,1,0,0,4
"140",722,"722. USHONGO","Ushongo",0,0,0,0,0,0,0,0,0,0,0
"141",723,"723. VANDEIKYA","Vandeikya",0,0,0,0,1,0,2,1,0,0,6
"142",801,"801. ABADAN","Abadan",0,0,0,0,0,0,0,0,0,0,0
"143",802,"802. ASKIRA UBA","Askira Uba",0,0,0,0,0,0,0,0,0,0,0
"144",803,"803. BAMA","Bama",0,0,0,0,0,0,0,0,0,0,0
"145",804,"804. BAYO","Bayo",0,0,0,0,0,0,0,0,0,0,0
"146",805,"805. BIU","Biu",0,0,1,0,0,0,6,1,0,0,0
"147",806,"806. CHIBOK","Chibok",0,0,0,0,0,0,0,0,0,0,0
"148",807,"807. DAMBOA","Damboa",0,0,0,0,0,0,0,0,0,0,0
