value,labl,lga
1410,1410. ISI UZO,Isi Uzo
1411,1411. NKANU EAST,Nkanu East
1412,1412. NKANU WEST,Nkanu West
1413,1413. NSUKKA,Nsukka
1414,1414. OJI RIVER,Oji River
1415,1415. UDENU,Udenu
1416,1416. UDI,Udi
1417,1417. UZO UWANI,Uzo Uwani
1501,1501. AKKO,Akko
1502,1502. BALANGA,Balanga
1503,1503. BILLIRI,Billiri
1504,1504. DUKKU,Dukku
1505,1505. FUNA KAYE,Funa Kaye
1506,1506. GOMBE,Gombe
1507,1507. KALTUNGO,Kaltungo
1508,1508. KWAMI,Kwami
1509,1509. NAFADA,Nafada
1510,1510. SHONGOM,Shongom
1511,1511. YAMALTU DEBA,Yamaltu Deba
1601,1601. ABOH MBAISE,Aboh Mbaise
1602,1602. AHIAZU MBAISE,Ahiazu Mbaise
1603,1603. EHIME MBANO,Ehime Mbano
1604,1604. EZINIHITTE MAISE,Ezinihitte Maise
1605,1605. IDEATO NORTH,Ideato North
1606,1606. IDEATO SOUTH,Ideato South
1607,1607. IHITTE UBOMA,Ihitte Uboma
1608,1608. IKEDURU,Ikeduru
1609,1609. ISIALA MBANO,Isiala Mbano
1610,1610. ISU,Isu
1611,1611. MBAITOLI,Mbaitoli
1612,1612. NGOR OKAPA,Ngor Okapa
1613,1613. NJABA,Njaba
1614,1614. NWERRE,Nwerre
1615,1615. NWANGELE,Nwangele
1616,1616. OBOWO,Obowo
1617,1617. OGUTA,Oguta
1618,1618. OHAJI EGBEMA,Ohaji Egbema
1619,1619. OKIGWE,Okigwe
1620,1620. ORLU,Orlu
1621,1621. ORSU,Orsu
1622,1622. ORU EAST,Oru East
1623,1623. ORU WEST,Oru West
1624,1624. OWERRI MUNICIPAL,Owerri Municipal
1625,1625. OWERRI NORTH,Owerri North
1626,1626. OWERRI WEST,Owerri West
1627,1627. ONUIMO,Onuimo
1701,1701. AUYO,Auyo
1702,1702. BABURA,Babura
1703,1703. BIRNIN KUDU,Birnin Kudu
1704,1704. BIRINWA,Birinwa
1705,1705. BUJI,Buji
1706,1706. DUTSE,Dutse
1707,1707. GAGARAWA,Gagarawa
1708,1708. GARKI,Garki
1709,1709. GUMEL,Gumel
1710,1710. GURI,Guri
1711,1711. GWARAM,Gwaram
1712,1712. GWIWA,Gwiwa
1713,1713. JADEJIA,Jadejia
1714,1714. JAHUN,Jahun
1715,1715. KAHIN HAUSA,Kahin Hausa
1716,1716. KAUGAMA,Kaugama
1717,1717. KAZAURE,Kazaure
1718,1718. KIRIKASAMMA,Kirikasamma
1719,1719. KIYAWA,Kiyawa
1720,1720. MAIGATARI,Maigatari
1721,1721. MALAM MADORI,Malam Madori
1722,1722. MIGA,Miga
1723,1723. RIGIM,Rigim
1724,1724. RONI,Roni
1725,1725. SULE TANKAR KAR,Sule Tankar Kar
1726,1726. TAURA,Taura
1727,1727. YAN KWASHI,Yan Kwashi
1801,1801. BIRININ GWARI,Birinin Gwari
1802,1802. CHIKUN,Chikun
1803,1803. GIWA,Giwa
1804,1804. IGABI,Igabi
1805,1805. IKARA,Ikara
1806,1806. JABA,Jaba
1807,1807. JEMA A,Jema A
1808,1808. KACHIA,Kachia
1809,1809. KADUNA NORTH,Kaduna North
1810,1810. KADUNA SOUTH,Kaduna South
1811,1811. KAGARKO,Kagarko
1812,1812. KAJURU,Kajuru
1813,1813. KAURU,Kauru
1814,1814. KAURA,Kaura
1815,1815. KUBAU,Kubau
1816,1816. KUDAN,Kudan
1817,1817. LERE,Lere
1818,1818. MAKARFI,Makarfi
1819,1819. SABON GARI,Sabon Gari
1820,1820. SANGA,Sanga
1821,1821. SOBA,Soba
1822,1822. ZONGON KATAF,Zongon Kataf
1823,1823. ZARIA,Zaria
1901,1901. AJINGI,Ajingi
1902,1902. ALBASU,Albasu
1903,1903. BAGWAI,Bagwai
1904,1904. BEBEJI,Bebeji
1905,1905. BICHI,Bichi
1906,1906. BUNKURE,Bunkure
1907,1907. DALA,Dala
1908,1908. DAMBATTA,Dambatta
1909,1909. DAWAKIN KUDU,Dawakin Kudu
1910,1910. DAWAKIN TOFA,Dawakin Tofa
1911,1911. DOGUWA,Doguwa
1912,1912. FAGGE,Fagge
1913,1913. GABASAWA,Gabasawa
1914,1914. GARKO,Garko
1915,1915. GARUN MALAM,Garun Malam
1916,1916. GAYA,Gaya
1917,1917. GEZAWA,Gezawa
1918,1918. GWALE,Gwale
1919,1919. GWARZO,Gwarzo
1920,1920. KABO,Kabo
1921,1921. KANO MUNICIPAL,Kano Municipal
1922,1922. KARAYE,Karaye
1923,1923. KIBIYA,Kibiya
1924,1924. KIRU,Kiru
1925,1925. KUMBOTSO,Kumbotso
1926,1926. KUNCHI,Kunchi
1927,1927. KURA,Kura
1928,1928. MADOBI,Madobi
1929,1929. MAKODA,Makoda
1930,1930. MINJIBIR,Minjibir
1931,1931. NASARAWA (KANO STATE),Nasarawa (Kano State)
1932,1932. RANO,Rano
1933,1933. RIMIN GADO,Rimin Gado
1934,1934. ROGO,Rogo
1935,1935. SHANONO,Shanono
1936,1936. SUMAILA,Sumaila
1937,1937. TAKAI,Takai
1938,1938. TARAUNI,Tarauni
1939,1939. TOFA,Tofa
1940,1940. TSANYAWA,Tsanyawa
1941,1941. TUDUN WADA,Tudun Wada
1942,1942. UNGOGO,Ungogo
1943,1943. WARAWA,Warawa
1944,1944. WUDIL,Wudil
2001,2001. BAKORI,Bakori
2002,2002. BATAGARAWA,Batagarawa
2003,2003. BATSARI,Batsari
2004,2004. BAURE,Baure
2005,2005. BINDAWA,Bindawa
2006,2006. CHARANCHI,Charanchi
2007,2007. DAN MUSA,Dan Musa
2008,2008. DANDUME,Dandume
2009,2009. DANJA,Danja
2010,2010. DAURA,Daura
2011,2011. DUTSI,Dutsi
2012,2012. DUTSI MA,Dutsi Ma
2013,2013. FASKARI,Faskari
2014,2014. FUNTUA,Funtua
2015,2015. INGAWA,Ingawa
2016,2016. JIBIA,Jibia
2017,2017. KAFUR,Kafur
2018,2018. KAITA,Kaita
2019,2019. KANKARA,Kankara
2020,2020. KANKIA,Kankia
2021,2021. KATSINA,Katsina
2022,2022. KURFI,Kurfi
2023,2023. KUSADA,Kusada
2024,2024. MAI ADUA,Mai Adua
2025,2025. MALUNFASHI,Malunfashi
2026,2026. MANI,Mani
2027,2027. MASHI,Mashi
2028,2028. MATAZU,Matazu
2029,2029. MUSAWA,Musawa
2030,2030. RIMI,Rimi
2031,2031. SABUWA,Sabuwa
2032,2032. SAFANA,Safana
2033,2033. SANDAMU,Sandamu
2034,2034. ZANGO,Zango
2101,2101. ALIERO,Aliero
2102,2102. AREWA,Arewa
2103,2103. ARGUNGUN,Argungun
2104,2104. AUGIE,Augie
2105,2105. BAGUDO,Bagudo
2106,2106. BIRININ KEBBI,Birinin Kebbi
2107,2107. BUNZA,Bunza
2108,2108. DANDI,Dandi
2109,2109. DANKO WASAGU,Danko Wasagu
2110,2110. FAKAI,Fakai
2111,2111. GWANDU,Gwandu
2112,2112. JEGA,Jega
2113,2113. KALGO,Kalgo
2114,2114. KOKO BESSE,Koko Besse
2115,2115. MAIYAMA,Maiyama
2116,2116. NGASKI,Ngaski
2117,2117. SAKABA,Sakaba
2118,2118. SHANGA,Shanga
2119,2119. SURU,Suru
2120,2120. YAURI,Yauri
2121,2121. ZURU,Zuru
2201,2201. ADAVI,Adavi
2202,2202. AJAOKUTA,Ajaokuta
2203,2203. ANKPA,Ankpa
2204,2204. BASSA (KOGI STATE),Bassa (Kogi State)
2205,2205. DEKINA,Dekina
2206,2206. IBAJI,Ibaji
2207,2207. IDAH,Idah
2208,2208. IGALAMELA,Igalamela
2209,2209. IJUMU,Ijumu
2210,2210. KABBA BUNU,Kabba Bunu
2211,2211. KOGI,Kogi
2212,2212. LOKOJA,Lokoja
2213,2213. MAPO MURO,Mapo Muro
2214,2214. OFU,Ofu
2215,2215. OGORI MAGONGO,Ogori Magongo
2216,2216. OKEHI,Okehi
2217,2217. OKENE,Okene
2218,2218. OLAMA BORO,Olama Boro
2219,2219. OMALA,Omala
2220,2220. YAGBA EAST,Yagba East
2221,2221. YAGBA WEST,Yagba West
2301,2301. ASA,Asa
2302,2302. BARUTEN,Baruten
2303,2303. EDU,Edu
2304,2304. EKITI,Ekiti
2305,2305. IFELODUN (KWARA),Ifelodun (Kwara)
2306,2306. ILORIN EAST,Ilorin East
2307,2307. ILORIN SOUTH,Ilorin South
2308,2308. ILORIN WEST,Ilorin West
2309,2309. IRESPODUN,Irespodun
2310,2310. ISIN,Isin
2311,2311. KAIMA,Kaima
2312,2312. MORO,Moro
2313,2313. OFFA,Offa
2314,2314. OKE ERO,Oke Ero
2315,2315. OYUN,Oyun
2316,2316. PATIGI,Patigi
2401,2401. AGEGE,Agege
2402,2402. AJEROMI IFELODU,Ajeromi Ifelodu
2403,2403. ALIMOSHO,Alimosho
2404,2404. AMUWO ODOFIN,Amuwo Odofin
2405,2405. APAPA,Apapa
2406,2406. BADAGRY,Badagry
2407,2407. EPE,Epe
2408,2408. ETI OSA,Eti Osa
2409,2409. IBEJU LEKKI,Ibeju Lekki
2410,2410. IFAKO IJAIYE,Ifako Ijaiye
2411,2411. IKEJA,Ikeja
2412,2412. IKORODU,Ikorodu
2413,2413. KOSOFE,Kosofe
2414,2414. LAGOS ISLAND,Lagos Island
2415,2415. LAGOS MAINLAN,Lagos Mainlan
2416,2416. MUSHIN,Mushin
2417,2417. OJO,Ojo
2418,2418. OSHODI,Oshodi
2419,2419. SHOMOLU,Shomolu
2420,2420. SURULERE (LAGOS),Surulere (Lagos)
2501,2501. AKWANGA,Akwanga
2502,2502. AWE,Awe
2503,2503. DOMA,Doma
2504,2504. KARU,Karu
2505,2505. KEANA,Keana
2506,2506. KEFFI,Keffi
2507,2507. KOKONA,Kokona
2508,2508. LAFIA,Lafia
2509,2509. NASARAWA (NASARAWA STATE),Nasarawa (Nasarawa State)
2510,2510. NASARAWA EGON,Nasarawa Egon
2511,2511. OBI (NASARAWA STATE),Obi (Nasarawa State)
2512,2512. TOTO,Toto
2513,2513. WAMBA,Wamba
2601,2601. AGAIE,Agaie
2602,2602. AGWARA,Agwara
2603,2603. BIDA,Bida
2604,2604. BORGU,Borgu
2605,2605. BOSSO,Bosso
2606,2606. CHANCHAGA,Chanchaga
2607,2607. EDATI,Edati
2608,2608. GBAKO,Gbako
2609,2609. GURARA,Gurara
2610,2610. KATCHA,Katcha
2611,2611. KONTAGORA,Kontagora
2612,2612. LAPAI,Lapai
2613,2613. LAVUN,Lavun
2614,2614. MAGAMA,Magama
2615,2615. MARIGA,Mariga
2616,2616. MASHEGU,Mashegu
2617,2617. MOKWA,Mokwa
2618,2618. MUNYA,Munya
2619,2619. PAIKORO,Paikoro
2620,2620. RAFI,Rafi
2621,2621. RIJAV,Rijav
2622,2622. SHIRORO,Shiroro
2623,2623. SULEJA,Suleja
2624,2624. TAFA,Tafa
2625,2625. WUSHISHI,Wushishi
2701,2701. ABEOKUTA NORTH,Abeokuta North
2702,2702. ABEOKUTA SOUTH,Abeokuta South
2703,2703. ADOODO OTA,Adoodo Ota
2704,2704. YEWA NORTH,Yewa North
2705,2705. YEWA SOUTH,Yewa South
2706,2706. EWEKORO,Ewekoro
2707,2707. IFO,Ifo
2708,2708. IJEBU EAST,Ijebu East
2709,2709. IJEBU NORTH,Ijebu North
2710,2710. IJEBU NORTH EAST,Ijebu North East
2711,2711. IJEBU ODE,Ijebu Ode
2712,2712. IKENNE,Ikenne
2713,2713. IMEKO AFON,Imeko Afon
2714,2714. IPOKIA,Ipokia
2715,2715. OBAFEMI OWE,Obafemi Owe
2716,2716. ODEDA,Odeda
2717,2717. ODOGBOLU,Odogbolu
2718,2718. OGUN  WATERSIDE,Ogun Waterside
2719,2719. REMO NORTH,Remo North
2720,2720. SHAGAMU,Shagamu
2801,2801. AKOKO NORTH EAST,Akoko North East
2802,2802. AKOKO NORTH WEST,Akoko North West
2803,2803. AKOKO SOUTH EAST,Akoko South East
2804,2804. AKOKO SOUTH WEST,Akoko South West
2805,2805. AKURE NORTH,Akure North
2806,2806. AKURE SOUTH,Akure South
2807,2807. ESE ODO,Ese Odo
2808,2808. IDANRE,Idanre
2809,2809. IFEDORE,Ifedore
2810,2810. ILAJE,Ilaje
2811,2811. ILE OLUJI OKEIGBO,Ile Oluji Okeigbo
2812,2812. IRELE,Irele
2813,2813. ODIGBO,Odigbo
2814,2814. OKITIPUPA,Okitipupa
2815,2815. ONDO EAST,Ondo East
2816,2816. ONDO WEST,Ondo West
2817,2817. OSE,Ose
2818,2818. OWO,Owo
2901,2901. AIYEDADE,Aiyedade
2902,2902. AIYEDIRE,Aiyedire
2903,2903. ATAKUNMOSA EAST,Atakunmosa East
2904,2904. BOLUWADURO,Boluwaduro
2905,2905. BORIPE,Boripe
2906,2906. EDE NORTH,Ede North
2907,2907. EDE SOUTH,Ede South
2908,2908. EGBEDORE,Egbedore
2909,2909. EJIGBO,Ejigbo
2910,2910. IFE CENTRAL,Ife Central
2911,2911. IFE EAST,Ife East
2912,2912. IFE NORTH,Ife North
2913,2913. IFE SOUTH,Ife South
2914,2914. IFEDAYO,Ifedayo
2915,2915. IFELODUN (OSUN),Ifelodun (Osun)
2916,2916. ILA,Ila
2917,2917. ILESHA EAST,Ilesha East
2918,2918. ILESHA WEST,Ilesha West
2919,2919. IREPODUN,Irepodun
2920,2920. IREWOLE,Irewole
2921,2921. ISOKAN,Isokan
2922,2922. IWO,Iwo
2923,2923. OBOKUN,Obokun
2924,2924. ODO OTIN,Odo Otin
2925,2925. OLA OLUWA,Ola Oluwa
2926,2926. OLORUNDA,Olorunda
2927,2927. ORIADE,Oriade
2928,2928. OROLU,Orolu
2929,2929. OSHOGBO,Oshogbo
2930,2930. ATAKUNMOSA WEST,Atakunmosa West
3001,3001. AFIJIO,Afijio
3002,3002. AKINYELE,Akinyele
3003,3003. ATIBA,Atiba
3004,3004. ATISBO,Atisbo
3005,3005. EGBEDA,Egbeda
